Datetime,open,high,low,close
2015-01-09 09:15:00,18801.7,18862.1,18794.65,18815.15
2015-01-09 09:30:00,18796.65,18810.7,18763.05,18771.6
2015-01-09 09:45:00,18768.9,18803.1,18763.8,18802.9
2015-01-09 10:00:00,18807.3,18813.6,18763.7,18781.15
2015-01-09 10:15:00,18786.7,18807.1,18779.4,18803.0
2015-01-09 10:30:00,18803.1,18803.1,18764.0,18764.0
2015-01-09 10:45:00,18764.5,18790.65,18745.6,18778.3
2015-01-09 11:00:00,18787.65,18789.35,18772.5,18779.35
2015-01-09 11:15:00,18777.75,18777.75,18734.15,18734.15
2015-01-09 11:30:00,18687.95,18725.25,18687.95,18699.65
2015-01-09 11:45:00,18709.45,18719.65,18705.25,18715.3
2015-01-09 12:00:00,18709.55,18710.75,18570.85,18616.35
2015-01-09 12:15:00,18618.3,18618.3,18575.4,18585.55
2015-01-09 12:30:00,18581.3,18587.65,18523.8,18567.85
2015-01-09 12:45:00,18568.65,18647.75,18566.3,18647.75
2015-01-09 13:00:00,18629.3,18637.8,18565.95,18565.95
2015-01-09 13:15:00,18576.65,18601.0,18557.85,18600.15
2015-01-09 13:30:00,18602.25,18602.25,18572.9,18581.9
2015-01-09 13:45:00,18586.95,18594.95,18498.6,18519.1
2015-01-09 14:00:00,18500.25,18528.5,18479.65,18514.15
2015-01-09 14:15:00,18508.7,18571.75,18508.7,18541.55
2015-01-09 14:30:00,18550.3,18580.15,18506.2,18579.55
2015-01-09 14:45:00,18573.35,18621.05,18561.1,18591.75
2015-01-09 15:00:00,18608.75,18675.85,18598.2,18663.05
2015-01-09 15:15:00,18657.6,18657.6,18585.95,18598.05
2015-01-12 09:15:00,18557.2,18583.6,18532.4,18560.45
2015-01-12 09:30:00,18550.8,18646.85,18535.6,18646.85
2015-01-12 09:45:00,18653.05,18730.8,18633.7,18729.95
2015-01-12 10:00:00,18736.1,18751.9,18708.75,18748.15
2015-01-12 10:15:00,18752.65,18779.75,18752.65,18765.95
2015-01-12 10:30:00,18752.9,18753.5,18728.95,18747.5
2015-01-12 10:45:00,18743.15,18747.2,18709.35,18723.4
2015-01-12 11:00:00,18732.5,18734.95,18724.65,18725.8
2015-01-12 11:15:00,18715.15,18723.4,18707.9,18723.4
2015-01-12 11:30:00,18725.3,18742.65,18710.6,18712.85
2015-01-12 11:45:00,18715.95,18739.0,18715.95,18735.0
2015-01-12 12:00:00,18735.25,18742.4,18675.05,18685.75
2015-01-12 12:15:00,18682.8,18682.8,18633.95,18638.5
2015-01-12 12:30:00,18655.4,18661.1,18646.75,18655.7
2015-01-12 12:45:00,18651.2,18659.25,18640.85,18659.25
2015-01-12 13:00:00,18660.3,18691.9,18657.6,18685.05
2015-01-12 13:15:00,18683.35,18692.95,18674.75,18680.7
2015-01-12 13:30:00,18676.65,18710.45,18676.65,18695.95
2015-01-12 13:45:00,18716.8,18721.85,18703.7,18721.85
2015-01-12 14:00:00,18728.3,18753.4,18728.3,18738.8
2015-01-12 14:15:00,18733.0,18817.3,18733.0,18817.3
2015-01-12 14:30:00,18805.7,18814.45,18776.35,18776.35
2015-01-12 14:45:00,18786.3,18793.45,18754.3,18768.65
2015-01-12 15:00:00,18789.95,18803.6,18782.2,18782.2
2015-01-12 15:15:00,18780.1,18813.15,18780.1,18808.75
2015-01-13 09:15:00,18889.7,18889.7,18826.65,18839.55
2015-01-13 09:30:00,18821.6,18867.3,18821.45,18860.45
2015-01-13 09:45:00,18873.1,18906.9,18873.1,18885.65
2015-01-13 10:00:00,18875.25,18901.45,18875.25,18889.9
2015-01-13 10:15:00,18884.85,18889.25,18863.5,18889.25
2015-01-13 10:30:00,18890.95,18915.2,18885.4,18910.45
2015-01-13 10:45:00,18908.5,18909.5,18899.05,18900.0
2015-01-13 11:00:00,18900.6,18900.6,18862.0,18862.9
2015-01-13 11:15:00,18862.8,18867.35,18836.8,18837.55
2015-01-13 11:30:00,18836.9,18848.15,18815.6,18839.0
2015-01-13 11:45:00,18834.25,18865.5,18834.25,18851.05
2015-01-13 12:00:00,18846.95,18853.55,18836.15,18844.9
2015-01-13 12:15:00,18840.8,18854.65,18831.0,18839.25
2015-01-13 12:30:00,18828.55,18839.85,18814.5,18830.7
2015-01-13 12:45:00,18827.25,18838.1,18821.95,18838.1
2015-01-13 13:00:00,18845.0,18856.55,18838.5,18856.55
2015-01-13 13:15:00,18881.35,18910.55,18880.05,18910.55
2015-01-13 13:30:00,18907.15,18907.15,18877.05,18888.8
2015-01-13 13:45:00,18889.3,18908.0,18889.3,18895.15
2015-01-13 14:00:00,18897.35,18897.35,18843.2,18843.45
2015-01-13 14:15:00,18843.25,18850.85,18785.2,18785.2
2015-01-13 14:30:00,18762.8,18762.8,18659.4,18666.95
2015-01-13 14:45:00,18656.7,18685.1,18643.15,18679.25
2015-01-13 15:00:00,18659.1,18718.7,18658.7,18715.1
2015-01-13 15:15:00,18715.9,18725.5,18704.75,18724.75
2015-01-14 09:15:00,18657.0,18676.55,18633.0,18651.35
2015-01-14 09:30:00,18656.45,18740.05,18656.45,18723.2
2015-01-14 09:45:00,18769.65,18769.65,18714.65,18716.85
